    app2();<br/><br/>            172o刚
<br/><br/>    “嗯嗯！”团团很兴奋地说：“馒头可厉害了！能跳得好高的！”
<br/><br/>    虽然觉得这游戏似乎是跟宠物犬玩的，但叶帆也管不了太多了，反正馒头喜欢就好，总比喷火烧家强。
<br/><br/>    “最近爸爸没在家，你跟馒头都有乖乖的吧？没出什么事吧？”叶帆问。
<br/><br/>    团团很认真地回答，“我们再也不敢玩火了！”叶
<br/><br/>    帆满意地笑了笑，看了下眼前的豪宅，这样式还真是非常前。大
<br/><br/>    量的落地玻璃，让房子的透光度很好，而这里四周都是绿化，所以也不用担心什么隐私问题。
<br/><br/>    “喜欢新家么？”叶帆问女儿。
<br/><br/>    团团用力点头，“喜欢的！就是没有小朋友一起玩……”
<br/><br/>    叶帆撇撇嘴，“你在幼儿园还没玩够啊，哪能只知道玩呢？”说
<br/><br/>    着，两人一兽走进屋子里，开放式的厨房中，江婶和姬晚晴正做着饭菜，周信江则在看着电视。苏
<br/><br/>    轻雪坐在客厅的一处沙上，面前放着一台笔记本，正处理着什么工作。众
<br/><br/>    人见到叶帆回来，笑着打招呼。“
<br/><br/>    叶帆啊，再等一个钟头，饭菜就好了，这几天很忙吧？电视里说要开什么研讨会，还以为你要去呢”，江婶笑着道。
<br/><br/>    叶帆摇摇头，“我懒得去，江婶你们慢慢来，我不急”。苏
<br/><br/>    轻雪抬头问道：“老公，这个地方你还满意么？”
<br/><br/>    “满意是满意，不过老婆，这个九鼎的五号，应该挺抢手的吧，毕竟象征着九五之尊。
<br/><br/>    你怎么买到的？这么几天的时间，难道之前都没人买吗？”叶帆纳闷，买房子加布置房子，女人度够快的啊。
<br/><br/>    苏轻雪微微愣了下，脸上泛起一丝无奈，朝叶帆招了招手，“你过来……”<br/><br/>
